"Date","Production Total [MWh]","Hydro [MWh]","Nuclear [MWh]","Solar [MWh]","Thermal [MWh]","Wind Onshore [MWh]","Other [MWh]","Consumption Total [MWh]","Metered [MWh]","Profiled [MWh]","Price","temperature_2m (°C)","cloud_cover (%)","wind_speed_100m (km/h)","gas pr","oil pr"
"2017-06-22",179239.361323,25302.443023,141901.31,229.405577,7368.46185,4430.142343,7.59853,194009.120915,140835.453125,53173.66779,34.18041666666665,13.393749999999999,65.75,12.654861111111112,25.57,401.55
"2017-06-23",170764.566552,16907.747852,141029.07,203.010836,7020.750478,5595.829736,8.15765,161000.590272,109392.588517,51608.001755,26.42125,14.580555555555556,69.18055555555556,18.400000000000002,25.57,401.55
"2017-06-24",185289.237938,14714.715859,138313.99,297.384933,6954.957149,24999.443127,8.74687,155342.405392,103991.22342,51351.181972,22.550000000000004,14.884027777777781,70.39583333333333,27.74236111111111,25.57,401.55
"2017-06-25",186672.395277,14493.192757,135542.03,318.155817,6491.542292,29819.774961,7.69945,163305.122303,109549.682393,53755.43991,20.030000000000005,14.50277777777778,43.65972222222222,30.127777777777776,25.57,401.55
"2017-06-26",184110.716554,14933.033531,136520.66,337.383069,6263.708239,26048.785695,7.14602,193611.850261,139545.543226,54066.307035,25.48625,14.054166666666669,56.64583333333335,25.857638888888886,25.57,401.55
"2017-06-27",180132.29871,21825.063165,140300.3,401.09104,6271.233717,11320.815958,13.79483,197719.50167,144990.488857,52729.012813,34.61291666666668,13.557638888888889,54.673611111111114,20.690277777777773,25.57,401.55
"2017-06-28",171848.253078,19745.233799,136139.86,418.020491,6466.254129,9054.160085,24.724574,195554.34157,144010.402303,51543.939267,34.156666666666666,14.147222222222222,61.42361111111111,14.397222222222222,25.57,401.55
"2017-06-29",189991.486392,17076.490846,138313.05,312.964958,4504.30035,29691.395288,93.28495,196187.364797,144454.737454,51732.627343,34.42374999999999,14.188888888888892,59.95833333333334,26.231250000000003,25.57,401.55
"2017-06-30",190374.109177,15020.305852,134929.34123,195.369935,4759.418343,35414.062287,55.61153,189609.270047,137778.84913,51830.420917,27.850416666666664,16.5625,75.18749999999999,34.32152777777778,25.57,401.55
"2017-07-01",162274.298771,11342.044171,134390.52,354.009284,4814.54777,11336.791986,36.38556,164062.827674,114423.128219,49639.699455,27.279583333333335,16.577083333333334,54.12499999999999,19.81527777777778,24.65,396.91
"2017-07-02",169574.036634,10736.607588,133738.78393,325.754471,4916.487462,19848.849903,7.55328,165319.248473,114953.425543,50365.82293,23.77125,16.96597222222222,71.50694444444446,13.378472222222221,24.65,396.91
"2017-07-03",174241.561256,11044.952114,133552.36675,369.555824,5256.978585,23965.952083,51.7559,190573.284971,139156.115209,51417.169762,26.149583333333332,15.336805555555555,65.87500000000001,23.443055555555556,24.65,396.91
"2017-07-04",166379.133336,12937.183473,133782.65953,341.061653,5146.301905,14150.091245,21.83553,189740.65965,137953.416974,51787.242676,31.624583333333334,13.71388888888889,66.00000000000001,20.003472222222225,24.65,396.91
"2017-07-05",160676.078884,16713.247617,130632.864,372.749035,4649.713153,8300.006259,7.49882,195369.153344,143239.735489,52129.417855,37.98541666666666,13.632638888888888,28.777777777777782,17.508333333333333,24.65,396.91
"2017-07-06",150572.593344,17701.529987,120959.06,443.70843,4944.072608,6468.594969,55.62735,193687.373512,142106.38512,51580.988392,38.90499999999999,14.256944444444443,35.18055555555555,18.12986111111112,24.65,396.91
"2017-07-07",144042.424433,14847.303152,120475.05,318.758438,4502.286352,3891.803961,7.22253,184909.651647,135174.193038,49735.458609,37.3275,17.138194444444448,74.07638888888889,13.733333333333333,24.65,396.91
"2017-07-08",141682.007532,9499.483348,123252.48502,164.230052,4314.969743,4445.194199,5.64517,166722.9568,116793.086235,49929.870565,32.227916666666665,15.919444444444446,84.05555555555557,11.076388888888891,24.65,396.91
"2017-07-09",158478.132049,9348.160954,132690.58,352.035752,5257.030529,10825.515944,4.80887,164383.585181,114816.146395,49567.438786,32.599583333333335,16.57638888888889,80.90972222222221,12.55,24.65,396.91
"2017-07-10",160732.782954,15182.205195,132485.06,361.890517,5164.692468,7535.153624,3.78115,182019.372654,132686.061309,49333.311345,40.18875,17.43194444444445,69.25,19.913194444444446,24.65,396.91
"2017-07-11",155412.074382,13746.814035,132272.6,270.32534,5162.573493,3954.498634,5.26288,179103.524434,130006.759911,49096.764523,36.24791666666666,16.581250000000004,71,11.645138888888889,24.65,396.91
"2017-07-12",166277.709576,13539.10473,131917.07,348.952715,5215.649356,15250.004345,6.92843,179205.149068,130289.588798,48915.56027,34.52958333333333,17.59652777777778,67.68055555555556,20.389583333333338,24.65,396.91
"2017-07-13",167200.097222,13368.698541,131889.17,439.862804,4498.205925,16998.213972,5.94598,179020.769051,129313.37058,49707.398471,31.682500000000005,14.988888888888889,37.77777777777778,23.027083333333337,24.65,396.91
"2017-07-14",160536.538423,14288.289317,134186.89,399.70977,4058.491563,7569.997863,33.15991,175282.164725,125348.763692,49933.401033,35.27541666666666,15.479861111111113,39.916666666666664,15.669444444444446,24.65,396.91
"2017-07-15",163894.518158,10520.837699,142206.71,436.200099,4329.7535,6398.15206,2.8648,158506.234132,110609.776285,47896.457847,29.672083333333333,16.94027777777778,33.35416666666667,11.580555555555556,24.65,396.91
"2017-07-16",180373.546949,9643.70463,142871.59,167.297448,5201.269445,22486.600626,3.0848,157085.556723,107191.764595,49893.792128,26.286666666666665,16.77638888888889,82.79861111111113,23.06458333333333,24.65,396.91
"2017-07-17",187307.657654,10766.341512,143101.94,403.678756,5387.246713,27644.126213,4.32446,167125.883781,117032.103077,50093.780704,26.222083333333334,16.530555555555555,41.61805555555556,25.559722222222224,24.65,396.91
"2017-07-18",172392.345086,11622.748766,143033.94,405.866777,3887.401933,13424.43883,17.94878,163993.824488,114947.705141,49046.119347,28.05083333333333,15.836805555555557,29.38194444444444,19.502777777777773,24.65,396.91
"2017-07-19",166051.327018,13534.740264,142623.77,407.69713,4524.534154,4957.65505,2.93042,167850.167968,119295.990118,48554.17785,29.55291666666667,15.491666666666667,51.34027777777778,16.602083333333333,24.65,396.91
"2017-07-20",166760.785668,14764.721832,142067.82,398.393975,4972.720419,4514.976242,42.1532,166393.613172,118433.195894,47960.417278,31.874999999999993,16.229861111111113,60.548611111111114,10.56388888888889,24.65,396.91
"2017-07-21",166730.334965,13878.795152,141598.32,252.492206,4901.073139,6097.180588,2.47388,165331.427549,116554.845276,48776.582273,32.63291666666667,16.207638888888887,52.05555555555555,13.056250000000002,24.65,396.91
"2017-07-22",160741.727083,10739.410636,140976.21,393.074527,5093.951404,3535.072536,4.00798,152723.875664,105430.123797,47293.751867,30.228749999999998,16.73680555555556,54.81944444444444,12.594444444444441,24.65,396.91
"2017-07-23",166323.730321,10245.662521,141001.1,342.744068,5048.808874,9682.292378,3.12248,150583.626031,102981.662173,47601.963858,26.364166666666662,16.509722222222226,59.06944444444445,15.6125,24.65,396.91
"2017-07-24",169902.650809,15603.892731,140403.39,245.480114,5083.717415,8562.228519,3.94203,165131.799141,116059.372686,49072.426455,35.96625,16.694444444444446,82.72916666666666,17.233333333333334,24.65,396.91
"2017-07-25",164542.227919,10954.38673,139833.92,201.891588,5160.964417,8386.870094,4.19509,164473.989723,115489.384457,48984.605266,29.4825,16.709722222222226,63.381944444444436,18.78819444444444,24.65,396.91
"2017-07-26",163886.661773,13195.651004,138757.38,210.375989,5373.702926,6346.073794,3.47806,165476.311793,116864.228167,48612.083626,29.368750000000002,16.764583333333334,92.10416666666666,16.36736111111111,24.65,396.91
"2017-07-27",161482.688909,12631.766025,139661.51,255.339102,5836.748154,3092.788228,4.5374,163581.678658,115209.372569,48372.306089,31.419166666666666,18.184027777777782,81.33333333333333,15.649305555555555,24.65,396.91
"2017-07-28",176892.510307,12184.296639,152465.48,263.870572,5697.825001,6277.202175,3.83592,162953.137218,114287.908868,48665.22835,28.677083333333332,16.468750000000004,71.6875,13.35277777777778,24.65,396.91
"2017-07-29",186529.648869,11411.354375,157442.22,226.441074,5921.509345,11522.333085,5.79099,153850.294358,105169.693513,48680.600845,22.914166666666667,17.71805555555555,66.1736111111111,17.894444444444442,24.65,396.91
"2017-07-30",185829.347884,10504.359305,159559.57,260.001571,5673.108864,9824.575104,7.73304,152602.219856,104257.582578,48344.637278,24.439583333333335,18.469444444444445,85.72222222222223,20.795833333333338,24.65,396.91
"2017-07-31",199655.96373,10811.754475,160289.91,336.205496,5489.174471,22724.168788,4.7505,166948.241583,118320.784171,48627.457412,26.8925,18.809027777777775,54.20833333333334,25.038888888888884,24.65,396.91
"2017-08-01",190650.461563,12794.431069,160158.98,354.257744,5492.423671,11845.792849,4.57623,164625.725488,116501.319123,48124.406365,27.724166666666665,18.403472222222224,60.048611111111114,22.034722222222218,23.3,403.96
"2017-08-02",173959.290775,14372.823505,138550.89,316.835435,5388.946648,15326.159427,3.63576,169329.131119,120466.368687,48862.762432,29.929583333333326,18.075000000000003,42.77777777777778,18.83819444444444,23.3,403.96
"2017-08-03",162092.589179,11808.029902,135664.99,204.50012,5488.985451,8901.956346,24.12736,169264.679176,118723.966908,50540.712268,27.694166666666668,17.563888888888886,54.85416666666666,18.790972222222226,23.3,403.96
"2017-08-04",171323.149364,11929.842195,135311.31808,223.597819,5212.04157,18629.31564,17.03406,169342.451668,118491.197434,50851.254234,24.671666666666667,16.981944444444444,68.34722222222224,23.478472222222226,23.3,403.96
"2017-08-05",172732.167416,11897.192611,135620.44,246.425685,4239.576412,20721.540798,6.99191,156240.464218,106111.279535,50129.184683,24.435000000000002,16.33402777777778,68.15972222222221,23.95416666666667,23.3,403.96
"2017-08-06",177242.529672,12941.720772,135757.20072,207.46515,4645.430125,23682.397405,8.3155,158436.624133,106396.962833,52039.6613,21.5225,14.672916666666664,90.4722222222222,21.211805555555557,23.3,403.96
"2017-08-07",180131.703034,19059.624109,135319.54,323.594591,4770.982906,20645.398638,12.56279,180451.948929,128634.088248,51817.860681,31.86291666666667,16.32361111111111,59.409722222222236,22.175694444444446,23.3,403.96
"2017-08-08",167975.243237,18656.168739,134847.38,259.082838,4769.684442,9409.184378,33.74284,178381.509956,127993.118065,50388.391891,30.432916666666667,17.893055555555556,70.92361111111111,20.99027777777778,23.3,403.96
"2017-08-09",172756.897788,16939.941027,134299.13,151.567011,4760.381331,16567.921299,37.95712,185045.059017,133682.092431,51362.966586,27.491666666666667,18.00069444444444,83.0625,22.798611111111107,23.3,403.96
"2017-08-10",170510.967694,19946.12137,134302.03,210.525922,4120.352774,11913.146478,18.79115,186215.669553,135635.472864,50580.196689,34.900000000000006,17.69930555555555,45.25000000000002,23.03333333333333,23.3,403.96
"2017-08-11",170797.000603,19163.432887,134124.91,401.730328,4369.583615,12733.974123,3.36965,179403.980611,129264.752679,50139.227932,36.45583333333333,18.77986111111111,22.326388888888886,19.638194444444444,23.3,403.96
"2017-08-12",163650.377941,15165.004652,133968.8,67.226579,5167.260621,9275.894399,6.19169,160925.700098,109551.449199,51374.250899,23.797083333333337,17.043055555555554,95.0625,13.93611111111111,23.3,403.96
"2017-08-13",167834.521175,13327.247358,134119.62026,207.070107,5239.272807,14933.085083,8.22556,162985.289654,109497.928944,53487.36071,23.19291666666667,13.693055555555555,62.82638888888888,19.284027777777776,23.3,403.96
"2017-08-14",164215.921551,15680.491844,133983.07,412.893521,5492.394943,8615.235183,31.83606,192583.947095,139188.9786,53394.968495,34.305416666666666,15.400694444444445,36.17361111111111,18.362500000000004,23.3,403.96
"2017-08-15",161982.836051,13633.704457,133501.83,347.594456,4837.093582,9645.360626,17.25293,192858.651262,140321.342489,52537.308773,31.076666666666664,15.659027777777775,71.21527777777777,17.075,23.3,403.96
"2017-08-16",170601.060148,20798.807488,131510.9,180.380596,4741.231574,13354.68312,15.05737,194024.81732,142012.728235,52012.089085,35.88333333333334,16.543055555555554,74.11805555555556,21.324305555555554,23.3,403.96
"2017-08-17",163129.3547,18645.059426,132320.64,360.068386,5230.008674,6554.028544,19.54967,194954.553778,143228.427362,51726.126416,38.84624999999999,16.775694444444444,64.10416666666667,13.296527777777776,23.3,403.96
"2017-08-18",155024.075533,23922.849545,115238.62307,123.686499,5930.240601,9805.184968,3.49085,190429.809299,138344.258511,52085.550788,36.13624999999999,15.966666666666663,88.45833333333333,19.527777777777786,23.3,403.96
"2017-08-19",145233.999449,16139.251791,102121.98715,265.746279,6158.888589,20544.97468,3.15096,170057.776945,117759.272331,52298.504614,27.707499999999992,16.60625,69.66666666666667,26.8375,23.3,403.96
"2017-08-20",145357.715247,16001.796502,101814.82188,279.360431,6111.410599,21146.787705,3.53813,172227.490562,118477.591814,53749.898748,24.98708333333333,15.380555555555556,26.347222222222225,25.199305555555558,23.3,403.96
"2017-08-21",138050.325493,26710.604925,101839.31,322.0238,5587.407837,3529.982201,60.99673,197995.155994,145170.95161,52824.204384,37.377916666666664,15.045833333333334,46.916666666666664,12.610416666666667,23.3,403.96
"2017-08-22",141733.580534,26026.25119,101467.05,307.029116,5472.632959,8442.272429,18.34484,198777.456258,145767.242774,53010.213484,44.286249999999995,13.731944444444446,68.49305555555554,18.611805555555556,23.3,403.96
"2017-08-23",132127.071303,29344.024253,91874.51,311.351892,6103.529972,4491.338496,2.31669,200837.767643,146621.532092,54216.235551,59.363333333333344,14.045833333333333,63.083333333333336,15.592361111111112,23.3,403.96
"2017-08-24",131962.381692,27813.865225,91015.1,264.66917,6488.478918,6379.596949,0.67143,205007.45267,149895.607963,55111.844707,41.85333333333333,14.742361111111112,72.97222222222221,13.865972222222222,23.3,403.96
"2017-08-25",131182.495837,26838.640319,91029.00955,121.541368,6544.572113,6646.810227,1.92226,203063.648313,147990.531424,55073.116889,39.6975,12.577777777777778,75.00694444444444,13.525694444444444,23.3,403.96
"2017-08-26",125312.491234,20707.734195,90979.34,279.609165,6817.305395,6525.425389,3.07709,180124.34476,124544.126164,55580.218596,33.879999999999995,12.803472222222222,31.729166666666668,17.50486111111111,23.3,403.96
"2017-08-27",117398.142922,17201.114458,90860.56,235.945438,6230.033914,2867.276552,3.21256,178358.015523,121649.003668,56709.011855,34.937916666666666,12.356944444444444,31.104166666666664,15.77291666666667,23.3,403.96
"2017-08-28",135244.426805,25319.002305,90713.93,295.060843,6010.487273,12856.178944,49.76744,205942.117103,149976.809339,55965.307764,47.52624999999999,13.62361111111111,38.49305555555556,16.061805555555555,23.3,403.96
"2017-08-29",143611.60353,18213.545505,90689.19,213.200548,5790.599856,28701.155371,3.91225,196598.684828,143977.534546,52621.150282,34.67416666666666,17.347222222222225,78.52083333333333,29.02777777777778,23.3,403.96
"2017-08-30",133049.642139,24706.005395,90715.57,240.866688,5659.976249,11725.327722,1.896085,199904.215201,148148.429961,51755.78524,37.33041666666667,17.65833333333333,82.03472222222223,22.669444444444448,23.3,403.96
"2017-08-31",129890.741807,23100.159298,90883.54,31.797636,6572.006546,9298.696046,4.542281,205350.059794,148321.677554,57028.38224,38.46958333333333,13.70833333333333,99.74305555555556,17.204166666666666,23.3,403.96
"2017-09-01",128863.966192,23354.934158,90633.93,307.650376,7194.901764,7370.858834,1.69106,197673.003869,141559.543538,56113.460331,38.11833333333333,13.954861111111112,74.97916666666669,14.811111111111112,23.68,423.64
"2017-09-02",118386.197134,17296.168228,89244.81,212.183785,7185.612157,4446.049534,1.37343,179941.76359,122020.289553,57921.474037,34.033333333333324,12.635416666666668,95.79166666666667,14.472916666666666,23.68,423.64
"2017-09-03",111656.511895,16199.661782,75806.56,160.954217,7240.876797,12239.644939,8.81416,181196.272409,121920.891652,59275.380757,33.35458333333333,13.191666666666665,94.79166666666664,26.26666666666667,23.68,423.64
"2017-09-04",138247.538779,29632.162089,74597.72,21.29178,7747.261539,26248.040571,1.0628,212667.658071,151157.803935,61509.854136,39.50375,12.43611111111111,94.93055555555556,35.50555555555555,23.68,423.64
"2017-09-05",125786.51388,30930.808176,74710.32,94.214432,7616.130181,12433.624412,1.416679,208832.645822,149780.103497,59052.542325,46.66958333333334,13.706249999999999,88.02083333333334,24.152083333333334,23.68,423.64
"2017-09-06",130435.322786,31567.163366,74784.91,59.688518,7785.044786,16236.819166,1.69695,211616.770764,150708.967423,60907.803341,44.772499999999994,12.113888888888889,75.30555555555557,19.99722222222222,23.68,423.64
